	LN	PBMC	PL	RB				
Day 7								0 Denotes no data for that day and animal
RCe8	18.66	0	6.67	6.96				
RCo8	50	0	5.4	6.85				
RDo8	100	0	5.75	5.72				
REi9	0	0	6.55	4.4				
RHk8	8.67	0	4.58	6.09				
RIf8	9.47	0	7.09	0				
RJj8	10.19	0	5.53	6.24				
RJl9	9.81	0	6.02	6.46				
RKb9	10.58	0	5.06	8.25				
RNr8	25.83	0	6.59	10.76				
ROu8	0	0	5.73	4.4				
RUn8	11.31	0	0	8.66				
RWi8	11.83	0	6.82	6.99				
RWu8	9.03	0	5.49	7.08				
RZz8	0	0	6.7	8.08				
Day 10								
RCe8	0	13	5.62	7.39				
RCo8	0	12.2	6.1	6.7				
RDo8	0	10.73	3.54	9.36				
REi9	0	11.74	5.15	7.87				
RHk8	0	10.25	5	10.54				
RIf8	0	11.14	6.43	6.33				
RJj8	0	11.32	6.32	10.58				
RJl9	0	12.35	5.89	8				
RKb9	0	12.52	4.81	10.06				
RNr8	0	10.7	5.68	9.65				
ROu8	0	10.31	4.32	8.49				
RUn8	0	11.04	5.71	10.65				
RWi8	0	10.38	5.29	11.87				
RWu8	0	13.12	5	9.14				
RZz8	0	10.4	6.65	5.43				
Day 14								
RCe8	12.17	13.75	5.87	7.57				
RCo8	0	14.27	5.53	9.48				
RDo8	9.16	13.23	5.96	8.72				
REi9	0	12.72	7.4	9.4				
RHk8	10.14	12.87	5.46	7.02				
RIf8	12.79	13.43	6.7	10.67				
RJj8	10.14	11.86	5.76	6.56				
RJl9	12.54	12.62	7.2	6.9				
RKb9	12.7	10.84	6.29	5.38				
RNr8	14.91	12.81	5.67	12.34				
ROu8	0	12.5	4.58	5.71				
RUn8	10.99	10.38	6.28	8.46				
RWi8	9.15	12.68	7.08	7.54				
RWu8	12	11.17	7.12	7.82				
RZz8	12.74	13.43	7.2	6.2				
Day 28								
RCe8	9.07	14.14	7.1	6.95				
RCo8	0	9.77	7.45	8.21				
RDo8	9.82	14.99	7.46	8.48				
REi9	0	11.57	7.49	27				
RHk8	9.54	13.12	4.39	7.62				
RIf8	11.82	12.96	7.08	7.06				
RJj8	8.99	11.65	6.97	7.01				
RJl9	10.36	12.07	6.87	7.1				
RKb9	14.09	11.61	6.6	5.69				
RNr8	15.09	12.99	6.04	0				
ROu8	NaN	9.88	6.9	12.63				
RUn8	NaN	10.85	6.16	10.83				
RWi8	8.07	12.67	6.75	6.79				
RWu8	11.2	9.36	6.94	7.46				
RZz8	9.9	10.46	7.78	12.32				
Day 56								
RCe8	0	13.06	7.1	0				
RCo8	0	9.83	6.88	0				
RDo8	0	11.99	5.41	0				
REi9	0	12.17	7.76	0				
RHk8	0	9.46	4.05	0				
RIf8	0	10.87	6.23	0				
RJj8	0	13.18	7.09	0				
RJl9	0	11	6.12	0				
RKb9	0	12.73	6.74	0				
RNr8	0	12.88	7.16	0				
ROu8	0	11.37	5.92	0				
RUn8	0	11.17	6.23	0				
RWi8	0	18.45	7.35	0				
RWu8	0	11.01	0	0				
RZz8	0	15	7.82	0				
Day 84								
RCe8	0	20.91	8.58	0				
RCo8	0	20.98	8.83	0				
RDo8	0	17.29	30.76	0				
REi9	0	18.11	11.67	0				
RHk8	0	16.03	8.07	0				
RIf8	0	17.33	0	0				
RJj8	0	21.41	7.88	0				
RJl9	0	18.33	9.58	0				
RKb9	0	18.83	10.09	0				
RNr8	0	18.32	6.3	0				
ROu8	0	21.31	8.83	0				
RUn8	0	18.52	19.96	0				
RWi8	0	27.07	25.39	0				
RWu8	0	18.86	8.09	0				
RZz8	0	19.53	8.81	0				
Day 168								
RCe8	0	14.72	0	100				
RCo8	0	16.52	0	5.91				
RDo8	0	78.16	0	99.89				
REi9	0	11.58	0	9.05				
RHk8	0	15.77	0	5.87				
RIf8	0	12.76	0	NaN				
RJj8	0	16.11	0	7.82				
RJl9	0	13.48	0	12.82				
RKb9	0	12.48	0	0				
RNr8	0	9.7	0	NaN				
ROu8	0	9.89	0	0				
RUn8	0	8.56	0	NaN				
RWi8	0	97.92	0	99.43				
RWu8	0	13.57	0	6.93				
RZz8	0	16.06	0	7.43				
